,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building
101,230000000.0,4600.0,19.0082903,72.8201324,4,4,2,0,New Property,2,Semi-Furnished,2,Flat
102,18100000.0,1200.0,19.12258624,72.86705,2,2,0,0,New Property,0,Unfurnished,0,Flat
103,29000000.0,894.0,19.031132,72.843476,2,2,0,0,New Property,0,Semi-Furnished,0,Flat
104,73000000.0,2410.0,19.100385,72.850466,4,4,1,0,New Property,1,Unfurnished,1,Flat
105,14400000.0,1050.0,19.040233,72.8601801,2,2,1,0,New Property,1,Semi-Furnished,1,Flat
106,7730000.0,1031.0,19.282975,72.87361800000001,2,2,4,0,New Property,4,Unfurnished,4,Flat
107,8170000.0,974.0,19.2834,72.886291,2,2,4,0,New Property,4,Semi-Furnished,4,Flat
108,8300000.0,1013.0,19.2834,72.886291,2,2,4,0,New Property,4,Unfurnished,4,Flat
109,23500000.0,850.0,19.166970000000003,72.83154,2,2,0,0,New Property,0,Unfurnished,0,Flat
110,81000000.0,2340.0,19.004529021432425,72.8311680180356,4,4,0,0,New Property,0,Semi-Furnished,0,Flat
111,7800000.0,1013.0,19.2834,72.886291,2,2,4,0,New Property,4,Furnished,4,Flat
112,33500000.0,1450.0,19.12419,72.83021,3,3,0,0,New Property,0,Semi-Furnished,0,Flat
113,15000000.0,676.0,19.07906913757324,72.90797424316406,2,2,0,0,New Property,0,Unfurnished,0,Flat
114,8280000.0,974.0,19.2834,72.886291,2,2,4,0,New Property,4,Unfurnished,4,Flat
115,18400000.0,990.0,19.1590077,72.86927109999999,2,2,0,0,New Property,0,Unfurnished,0,Flat
116,22500000.0,1000.0,19.043911,72.89877800000001,2,2,0,0,New Property,0,Semi-Furnished,0,Flat
117,8460000.0,1045.0,19.285007,72.871962,2,2,4,0,New Property,4,Unfurnished,4,Flat
118,22100000.0,1330.0,19.220760345458984,72.85809326171875,2,2,2,0,New Property,2,Unfurnished,2,Flat
119,12600000.0,1100.0,19.263496,72.875621,2,2,4,0,New Property,4,Semi-Furnished,4,Flat
120,5580000.0,915.0,19.35926793,72.85687374,2,2,4,0,New Property,4,Unfurnished,4,Flat
121,23500000.0,1210.0,19.1629924,72.83930190000001,2,3,0,0,New Property,0,Unfurnished,0,Flat
122,32000000.0,961.0,19.1137131,72.86100970000001,2,3,3,0,New Property,3,Semi-Furnished,3,Flat
123,38300000.0,1600.0,19.1629924,72.83930190000001,3,3,0,0,New Property,0,Unfurnished,0,Flat
124,17500000.0,1050.0,19.1184266,72.8958535,2,2,0,0,New Property,0,Unfurnished,0,Flat
125,14500000.0,900.0,19.191485,72.83739,2,2,1,0,Resale,1,Unfurnished,1,Flat
126,20100000.0,1131.0,19.141978,72.812312,2,2,0,0,New Property,0,Unfurnished,0,Flat
127,7200000.0,850.0,19.280031,72.883798,2,2,3,0,New Property,3,Semi-Furnished,3,Flat
128,14400000.0,1000.0,19.1859,72.84037,2,2,0,0,New Property,0,Unfurnished,0,Flat
129,15100000.0,727.0,19.19038,72.83293,2,2,1,0,New Property,1,Unfurnished,1,Flat
